Entrez id	hsa-miR-1-3p	hsa-miR-30a-5p	hsa-miR-155-5p	hsa-miR-16-5p	hsa-let-7b-5p
387103	0.3494337	0.146365219	-0.038426	0.268752879	0.22906395
84279	0.1205432	-0.070461056	-0.059617073	0.572757944	-0.076346387
5542	0.002001085	0.107466769	-0.375937212	-0.154691807	-0.513624204
64084	0.2809662	0.124687192	-0.138433054	-0.242535184	-0.164975946
6725	-0.01009401	0.483755232	0.131900904	0.29444866	0.156482622
6536	-0.64644	-0.522618721	-1.502091074	-1.156137968	-1.110273416
113540	0.2199187	0.196103281	-0.23830919	0.084719332	-0.159507027
9626	0.02583826	-0.118302277	-0.125059366	-0.210989379	-0.338119399
23387	0.03294833	0.011420771	0.13316412	0.421912545	0.261124647
374378	0.003815304	-0.130733669	-0.139793428	-0.072910748	-0.168688504
23534	0.07983509	-0.235193429	0.763963685	-0.244131367	0.298015883
11015	0.1055974	0.310454489	0.190561749	1.301343284	0.289017139
9474	0.2192328	-0.214046107	-0.343799586	-0.468627479	0.223294216
51005	0.2184018	0.373021923	0.337691682	0.104077319	0.010584157
54989	-0.09634608	0.032522901	0.049418018	-0.523260318	0.197742561
84619	0.104588	0.07720929	0.202564924	-0.319671711	-0.197630372
705	0.07297064	0.03982422	0.051447076	0.051447076	-0.256972319
7023	0.02306929	0.101979567	-0.756635659	-1.017556227	-0.994967889
55969	-0.009902619	-0.03101897	-0.396608722	0.027936766	-0.084937473
8165	-0.06886427	-0.006174404	-0.481907297	-0.154004175	-0.261613578
9849	0.09707357	0.031052723	0.748415085	-0.191710897	0.432240032
2113	-0.126206	0.095653003	-0.486610191	-0.169974441	-0.115083021
4324	-0.0970351	0.014601742	-0.07046337	-0.112421952	-0.263233746
440107	0.1449403	-0.222323715	-0.316315788	-0.192394556	-0.173808651
123920	0.07901023	-0.222551294	-0.035143781	-0.259454224	-0.310931019
10445	-0.00836222	0.09708199	-0.26199681	-0.177674712	-0.216588356
4232	0.08685396	0.065510955	-0.725147812	0.504564149	-0.124406634
64881	-0.04031155	-0.168136285	0.092564775	-0.133467505	-0.157978125
79647	0.04190623	0.191925444	-1.103949913	-0.08655179	-0.237669604
84618	0.2423926	0.401727556	0.255301031	0.367736894	0.114095181
22873	-0.329168	0.23772362	0.671432193	0.400911288	0.84500195
23234	0.1120047	-0.059777627	-0.057993663	-0.304849918	0.092320437
84243	0.01310123	-0.14083302	0.011477757	-0.000212484	-0.30826974
7529	-0.1437837	0.078945491	-0.028316415	0.054727586	-0.01988943
84803	0.2142458	-0.798546004	1.235803368	-0.405674091	0.199789697
55125	-0.08148747	0.062280653	0.127898031	0.071318054	0.759054057
8702	0.1523655	-0.338458951	0.54411647	0.646494894	0.426722824
51601	0.06328389	-0.103748418	0.363823905	-0.018109064	0.455721632
55244	0.09142642	0.018968375	0.621906409	0.845441942	0.49469886
968	0.1725534	0.049420715	-0.013386449	-0.238586776	-0.243873767
54900	0.3367847	-0.099274995	0.269543417	0.055318311	-0.21081248
4968	-0.03157592	0.190871605	0.24510681	0.845950665	-0.316753839
128859	-0.6702049	-0.023330275	-0.231619554	-0.123197265	-0.361689253
7257	0.7293662	0.003960372	1.035713452	-0.370965379	0.421182877
8443	0.1461095	0.161262901	0.392453306	0.354824635	0.285731043
23446	-1.426543	0.183607559	-0.024280875	0.212632476	0.188761152
259	-0.03742202	0.151817649	0.095679317	0.050406387	-0.108790757
146198	0.03714896	-0.141264513	0.191064737	0.355453558	0.270564047
94039	-0.1343317	-0.031949361	0.588601985	0.110541468	0.161232521
56945	0.1359089	-0.128464481	0.51453963	0.108023562	0.412709033
7940	-0.08227102	-0.05747083	-0.332700958	-0.210808483	-0.335633073
79156	-0.183728	-0.243479255	0.177985141	0.367697927	-0.164240052
80019	0.1809783	0.094362582	-0.085599795	-0.643842186	-0.482787083
65109	0.1231524	-0.061587135	0.042426168	-0.81221232	0.196243346
534	-0.1678021	-0.090076876	0.093743205	0.412774074	0.093743205
9789	-0.04578938	0.117337686	-0.455596594	0.321998104	0.365871815
7324	0.2618582	-0.119731961	-0.14448894	-0.691631268	-0.226675783
9444	0.185437	0.115340887	-0.903332959	-0.041515759	0.106916454
387694	0.3978806	-0.020180455	0.148070077	0.045561917	-0.46521999
8968	-0.3533635	-0.084502959	0.552083564	0.648022579	0.183933362
10880	0.1082779	0.08285239	0.15372739	0.078961156	0.21794766
23135	0.04417422	-0.005046895	-0.09867354	0.017838279	-0.334064366
57097	-0.2576367	0.029617512	0.027783421	-0.135938214	-0.348362338
4521	-0.1380506	0.073129932	0.380880922	0.8421011	0.44874463
126298	-0.02959726	0.537900787	0.126045085	0.126045085	0.262010619
7343	-0.3789163	0.170181679	-0.533941571	-0.289151142	-0.375256375
25799	0.3069565	0.217900261	0.502787731	0.134702359	-0.14039831
64844	0.1030278	0.063567084	0.053918889	-0.310526091	0.193053466
29925	-0.1387779	-0.108194936	0.123208133	-0.101177878	-0.429845672
80108	0	-0.30420439	-0.080988206	-0.276215046	-0.304949768
3290	0.04755815	0.115643979	-0.09201846	-0.047991774	-0.166943563
1605	-0.08048742	0.024710663	-0.258787882	0.172190568	-0.104479047
54832	0.1770114	0.047737865	0.358124978	-0.631728566	0.219353173
6184	-0.02983253	-0.031623362	0.188344095	0.270328326	0.053859111
4704	-0.01525853	0.089791518	0.126151441	0.448808425	0.068445186
158399	0.2774144	-0.139483748	0.253981218	-0.003563577	-0.032688064
64770	-0.05509056	-0.106017493	0.2383812	-0.149287624	0.126408851
27023	-0.5300295	0.130512841	-0.635813573	-0.190112195	-0.374376679
5814	0.08036751	0.104432297	0.058403954	0.115748181	0.145064192
23243	0.0563707	-0.195474198	-0.209472591	-0.862083705	0.472893849
5598	-0.1227558	0.010580755	0.009111986	0.014733011	-0.34405441
135228	0.1010204	-0.075830308	-0.116650584	-0.795170475	0.095195891
